offer_id,name,offer_type,category,content,channel,points,exclusion_category,benefit_type,point_type,program_code,program_name,program_tier,program_point_type,product_category,product_code,product_name,season,month,week_day,holiday,week_end,birth_day,wedding_anniversary,duration,start_date,end_date,,partner_category,partner_code,partner_name,partner_type,targetted_age,targetted_nationality,targetted_preference_group,targetted_gender,targetted_type,targetted_tier,targetted_channel,targetted_marital_status,discount_percentage
O0001,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,Loyalty  Portal,50,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P045,New Launches,Summer 2020,April ,,,,,,,01-Jun-19,31-Aug-19,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,,Bronze,Loyalty  Portal,Both,
O0002,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card",Web,4000,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,,P019,Credit Card Offer,Summer 2020,May,,,,,,,01-Jun-19,31-Aug-19,,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,,Saphire,Web,Both,
O0003," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card",Web,6000,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2021,May,,,,,,,01-Jun-19,31-Aug-19,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Platinum,Web,All,
O0004,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card",Web,3500,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2022,May,,,,,,,01-Jun-19,31-Aug-19,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Gold,Web,All,
O0005,Member Only - Early Birds 50,Redemption,Promotions,Redeem new products listed exclusively for members- First 50,"Mobile App, SMS",100,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2020,Dec,,New Year,,,,,01-Jun-19,31-Aug-19,,Air,Luftansa,Luftansa,Airlines,All,US,Corporates,All,,Gold,"Mobile App, SMS",All,
O0006,Member Only - Spring 20,Redemption,Promotions,Redeem new products listed exclusively for members - Sprint Sale 2020,"Mobile App, SMS",200,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2020,Dec,,,,,,,01-Jun-19,31-Aug-19,,Air,Luftansa,Luftansa,Airlines,40-65,US,Individuals,All,,Gold,"Mobile App, SMS",All,
O0007,Member Only - Thanks Giving 20,Redemption,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,"Mobile App, SMS",200,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,01-Jun-19,31-Aug-19,,Air,,,,All,US,,,,Gold,"Mobile App, SMS",All,
O0008,Member Only - Independence Day,Redemption,Promotions,Redeem new products listed exclusively for members - Independence day sale,"Mobile App, SMS",300,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,01-Jun-19,31-Aug-19,,Air,,,,All,,,,,Gold,"Mobile App, SMS",All,
O0009,Member Only - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for members,"Mobile App, SMS",300,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,01-Jun-19,31-Aug-19,,Air,,,,All,,,,,Gold,"Mobile App, SMS",All,
O0010,Join the world for 50,,Coupons,Create an account gain 50 points,Web,100,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P054,Refer a friend,,,,,,,,,01-Jun-19,31-Aug-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
